id_produk,id_seller,id_supplier,nama_produk,kategori_produk,harga_jual,harga_modal,stok_awal,minimum_stok,status_produk,tanggal_input_produk
P001,U001,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21
P002,U001,S001,Latte,Minuman,20000,10000,825,165,aktif,2024-01-15
P003,U001,S001,Kopi Susu,Minuman,18000,9000,752,150,aktif,2024-01-22
P004,U001,S007,Coca-cola,Minuman,10000,5000,744,149,aktif,2024-01-19
P005,U001,S007,Air Mineral,Minuman,5000,2500,715,143,aktif,2024-01-11
P006,U002,S002,Minyak,Sembako,18000,14000,3534,707,aktif,2024-03-05
P007,U002,S002,Beras,Sembako,70000,60000,2907,581,aktif,2024-03-10
P008,U002,S002,Gula,Sembako,16000,12000,3616,723,aktif,2024-03-13
P009,U002,S002,Telur Ayam,Sembako,28000,22000,3706,741,aktif,2024-03-09
P010,U002,S002,Kecap,Sembako,12000,8000,2513,503,aktif,2024-03-15
P011,U002,S004,Chitato,Snack,12000,7000,1914,383,aktif,2024-03-04
P012,U002,S004,Pringles,Snack,18000,9000,1359,272,aktif,2024-03-06
P013,U002,S004,Silverqueen,Snack,15000,9000,1544,309,aktif,2024-03-14
P014,U002,S004,Cookies,Snack,14000,7000,1299,260,aktif,2024-03-08
P015,U002,S004,Crackers,Snack,10000,5000,1818,364,aktif,2024-03-07
P016,U003,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16
P017,U003,S003,Nasi Goreng,Makanan,20000,10000,680,136,aktif,2024-07-22
P018,U003,S003,Sate Ayam,Makanan,25000,13000,970,194,aktif,2024-07-29
P019,U003,S003,Soto Betawi,Makanan,28000,15000,671,134,aktif,2024-07-27
P020,U003,S003,Ketoprak,Makanan,15000,8000,896,179,stok_menipis,2024-07-19
P021,U003,S008,Nugget,Frozen Food,18000,9000,938,188,aktif,2024-07-29
P022,U003,S008,Sosis Frozen,Frozen Food,15000,7000,984,197,aktif,2024-07-22
P023,U003,S008,Kentang Frozen,Frozen Food,18000,10000,1073,215,aktif,2024-07-29
P024,U003,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21
P025,U003,S008,Bakso Frozen,Frozen Food,25000,13000,1399,280,aktif,2024-07-27
P026,U004,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11
P027,U004,S004,Cinnamon Roll,Bakery,22000,12000,625,125,aktif,2024-10-13
P028,U004,S004,Dorayaki,Bakery,15000,7000,638,128,stok_menipis,2024-10-08
P029,U004,S004,Kue Balok,Bakery,12000,6000,852,170,aktif,2024-10-12
P030,U004,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12
P031,U005,S005,Deterjen,Laundry,12000,7000,2614,523,aktif,2025-02-14
P032,U005,S005,Pemutih,Laundry,15000,8000,4148,830,aktif,2025-02-02
P033,U005,S005,Pewangi,Laundry,12000,6000,2635,527,aktif,2025-02-06
P034,U005,S005,Cuci Kiloan,Laundry,7000,3000,4294,859,aktif,2025-02-11
P035,U005,S005,Dry Cleaning,Laundry,25000,12000,3842,768,aktif,2025-02-05
P036,U006,S006,Jaket Kulit,Fashion,150000,90000,534,107,aktif,2025-05-12
P037,U006,S006,Hoodie,Fashion,90000,50000,426,85,aktif,2025-05-04
P038,U006,S006,Kaos Polo,Fashion,75000,40000,434,87,aktif,2025-05-10
P039,U006,S006,Celana Cargo,Fashion,120000,70000,759,152,aktif,2025-05-08
P040,U006,S006,Topi,Fashion,50000,25000,412,82,stok_menipis,2025-05-07
